index,selected_feats
0,N%
1,E1m
2,GATS1v
3,Mor07m
4,NdssC
5,DISPm
6,RDF020u
7,R4u
8,RTs+
9,B03[C-N]
10,DLS_cons
11,TDB03m
12,H-052
13,RDF020p
14,TPSA
15,GATS2m
16,DISPp
17,SIC1
18,Mor27m
19,AMW
20,GATS1e
21,GATS2e
22,E3v
23,R1e
24,HOMO (eV)
25,DM
26,RARS
27,Mor29m
28,HATS5p
29,Chi_G/D
30,GATS1m
31,ATSC1m
32,Hy
33,O%
34,CATS2D_02_AL
35,CIC2
36,HATSs
37,Psi_i_A
38,Mor12m
39,GATS1p
40,nX
41,DISPe
42,DISPv
43,Ui
44,R1v+
45,LUMO (eV)
46,B02[C-O]
47,R1p+
48,Me
49,AAC
50,TPSA(Tot)
51,VR2_RG
52,CATS2D_02_DL
53,nO
54,F01[C-O]
55,nROH
56,DLS_04
57,nHAcc
58,B01[C-O]
59,B01[C-S]
60,B01[C-N]
61,nBM
62,B05[C-O]
63,DLS_05
64,F02[C-O]
65,nRSR
66,CATS2D_03_DL
67,nTB
68,nN
69,H-049
70,C-040
71,C-011
72,nHDon
73,nCt
74,nHM
75,RTv+
76,nHet
77,X%
78,MATS1m
79,LLS_02